Phylum	Categoria	Genus
Proteobacteria	Alpha-proteobacteria	Afipia
Proteobacteria	Alpha-proteobacteria	Aquabacterium
Proteobacteria	Alpha-proteobacteria	Asticcacaulis
Proteobacteria	Alpha-proteobacteria	Aurantimonas
Proteobacteria	Alpha-proteobacteria	Beijerinckia
Proteobacteria	Alpha-proteobacteria	Bosea
Proteobacteria	Alpha-proteobacteria	Bradyrhizobium
Proteobacteria	Alpha-proteobacteria	Brevundimonas
Proteobacteria	Alpha-proteobacteria	Caulobacter
Proteobacteria	Alpha-proteobacteria	Craurococcus
Proteobacteria	Alpha-proteobacteria	Devosia
Proteobacteria	Alpha-proteobacteria	Hoeflea
Proteobacteria	Alpha-proteobacteria	Mesorhizobium
Proteobacteria	Alpha-proteobacteria	Methylobacterium
Proteobacteria	Alpha-proteobacteria	Novosphingobium
Proteobacteria	Alpha-proteobacteria	Ochrobactrum
Proteobacteria	Alpha-proteobacteria	Paracoccus
Proteobacteria	Alpha-proteobacteria	Pedomicrobium
Proteobacteria	Alpha-proteobacteria	Phyllobacterium
Proteobacteria	Alpha-proteobacteria	Rhizobium
Proteobacteria	Alpha-proteobacteria	Roseomonas
Proteobacteria	Alpha-proteobacteria	Sphingobium
Proteobacteria	Alpha-proteobacteria	Sphingomonas
Proteobacteria	Alpha-proteobacteria	Sphingopyxis
Proteobacteria	Beta-proteobacteria	Acidovorax
Proteobacteria	Beta-proteobacteria	Azoarcus
Proteobacteria	Beta-proteobacteria	Azospira
Proteobacteria	Beta-proteobacteria	Burkholderia
Proteobacteria	Beta-proteobacteria	Comamonas
Proteobacteria	Beta-proteobacteria	Cupriavidus
Proteobacteria	Beta-proteobacteria	Curvibacter
Proteobacteria	Beta-proteobacteria	Delftia
Proteobacteria	Beta-proteobacteria	Duganella
Proteobacteria	Beta-proteobacteria	Herbaspirillum
Proteobacteria	Beta-proteobacteria	Janthinobacterium
Proteobacteria	Beta-proteobacteria	Kingella
Proteobacteria	Beta-proteobacteria	Leptothrix
Proteobacteria	Beta-proteobacteria	Limnobacter
Proteobacteria	Beta-proteobacteria	Massilia
Proteobacteria	Beta-proteobacteria	Methylophilus
Proteobacteria	Beta-proteobacteria	Methyloversatilis
Proteobacteria	Beta-proteobacteria	Oxalabacter
Proteobacteria	Beta-proteobacteria	Pelomonas
Proteobacteria	Beta-proteobacteria	Polaromonas
Proteobacteria	Beta-proteobacteria	Ralstonia
Proteobacteria	Beta-proteobacteria	Schlegelella
Proteobacteria	Beta-proteobacteria	Sulfuritalea
Proteobacteria	Beta-proteobacteria	Undibacterium
Proteobacteria	Beta-proteobacteria	Variovorax
Proteobacteria	Gamma-proteobacteria	Enhydrobacter
Proteobacteria	Gamma-proteobacteria	Nevskia
Proteobacteria	Gamma-proteobacteria	Pseudoxanthomonas
Proteobacteria	Gamma-proteobacteria	Psychrobacter
Proteobacteria	Gamma-proteobacteria	Stenotrophomonas
Proteobacteria	Gamma-proteobacteria	Xanthomonas
Actinobacteria	Actinobacteria	Aeromicrobium
Actinobacteria	Actinobacteria	Arthrobacter
Actinobacteria	Actinobacteria	Beutenbergia
Actinobacteria	Actinobacteria	Brevibacterium
Actinobacteria	Actinobacteria	Curtobacterium
Actinobacteria	Actinobacteria	Dietzia
Actinobacteria	Actinobacteria	Geodermatophilus
Actinobacteria	Actinobacteria	Janibacter
Actinobacteria	Actinobacteria	Kocuria
Actinobacteria	Actinobacteria	Microbacterium
Actinobacteria	Actinobacteria	Micrococcus
Actinobacteria	Actinobacteria	Microlunatus
Actinobacteria	Actinobacteria	Patulibacter
Actinobacteria	Actinobacteria	Propionibacterium
Actinobacteria	Actinobacteria	Rhodococcus
Actinobacteria	Actinobacteria	Tsukamurella
Firmicutes	Firmicutes	Abiothropia
Firmicutes	Firmicutes	Brevibacillus
Firmicutes	Firmicutes	Brochothrix
Firmicutes	Firmicutes	Facklamia
Firmicutes	Firmicutes	Paenibacillus
Bacteroidetes	Bacteoridetes	Chryseobacterium
Bacteroidetes	Bacteoridetes	Dyadobacter
Bacteroidetes	Bacteoridetes	Flavobacterium
Bacteroidetes	Bacteoridetes	Hydrotalea
Bacteroidetes	Bacteoridetes	Niastella
Bacteroidetes	Bacteoridetes	Olivibacter
Bacteroidetes	Bacteoridetes	Pedobacter
Bacteroidetes	Bacteoridetes	Wautersiella
Deinococcus-Thermus	Deinococcus-Thermus	Deinococcus
Acidobacteria	Acidobacteria	Acidobacteria_Gp2
Cyanobacteria	Cyanobacteria	Chloroplast
Proteobacteria	Alpha-proteobacteria	Acidocella
Actinobacteria	Actinobacteria	Dermacoccaceae
